id,name,artists,year,popularity,key,tempo,acousticness,duration_ms,danceability,energy,explicit,instrumentalness,liveness,loudness,mode,speechiness,valence
7F9zSVVD38CDt8ZMpe6fFg,Get Up,['T-Pain'],2020,53,2,102.979,0.0844,152640,0.722,0.438,1,0.000112,0.104,-8.386,1,0.0593,0.132
4AWZVz9cuAS1ZsJUB5cq8S,(This Ain't) No Thinkin' Thing,['Trace Adkins'],2010,49,9,116.058,0.156,241120,0.628,0.807,0,4.92E-05,0.0962,-3.835,0,0.0251,0.554
26ycbqowYZ01xEqdtfr0EW,Chrome,['Trace Adkins'],2010,42,9,179.746,0.112,201693,0.474,0.924,0,6.93E-06,0.229,-3.923,1,0.062,0.774
1ZxNwqYsJA41CKf2YEhmIK,Just Fishin',['Trace Adkins'],2011,47,11,86.5,0.00764,210333,0.586,0.674,0,0.0777,0.243,-5.69,1,0.0246,0.395
21FyeXi7sykXk9HRlf3Aul,Semper Fi,['Trace Adkins'],2011,47,11,129.637,0.0234,228427,0.557,0.403,0,0.0124,0.0914,-8.947,1,0.0309,0.202
1fcJFI3LvRK9is51pDwI6N,Til The Last Shot's Fired,['Trace Adkins'],2010,43,6,73.896,0.506,300107,0.416,0.465,0,1.79E-05,0.104,-7.117,0,0.035,0.223
1WAgUnY35IbBfXfBgZrToP,Whoop A Man's Ass,['Trace Adkins'],2010,42,2,145.862,0.00306,203467,0.529,0.933,0,0.0233,0.0953,-5.473,1,0.0719,0.672
5Ga2YBqKtetWgWL2pl3g3f,You're Gonna Miss This,['Trace Adkins'],2010,58,8,154.926,0.0272,223973,0.492,0.69,0,7.73E-05,0.0978,-5.878,1,0.0344,0.333
5LopRVLII1pAVeQxm8tNpI,Embers,['Tracey Chattaway'],2013,51,0,135.59,0.995,178456,0.752,0.0272,0,0.966,0.108,-20.228,1,0.0591,0.115
2kZZq09uK0oR9wwYJvgacb,Paint Me a Birmingham,['Tracy Lawrence'],2011,62,6,129.862,0.0757,231053,0.519,0.52,0,0,0.166,-4.547,1,0.03,0.281
2jFus6Szb29hhxJ2juhQjS,Shattered,['Trading Yesterday'],2011,51,5,81.974,0.355,293907,0.477,0.263,0,0.000573,0.116,-10.679,1,0.027,0.221
77tsD2Ai9gdjePMqF4TxPS,Dark Angel (feat. Kevin Gates),['Trae Tha Truth'],2013,50,0,127.131,0.138,267233,0.676,0.92,1,0.0107,0.238,-5.823,0,0.269,0.434
5mFyDjMKMDqgCD1s2WcVI4,Say Ahh,['Trae Tha Truth'],2011,45,1,93.042,0.00749,239267,0.76,0.803,1,0,0.694,-6.545,0,0.219,0.835
702RdmOBmeHXG2jAmNeGN8,Swang,['Trae Tha Truth'],2013,47,1,77.063,0.0297,345987,0.587,0.699,1,3.22E-05,0.325,-6.033,1,0.177,0.421
3adeqciqrsp6PQqR0hGDC7,Bruises (feat. Ashley Monroe),"['Train', 'Ashley Monroe']",2012,58,2,102.963,0.0131,231787,0.63,0.791,0,6.83E-06,0.232,-4.497,1,0.0279,0.491
2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,['Train'],2012,66,6,140.043,0.000284,247947,0.591,0.935,0,0.000278,0.142,-2.664,1,0.0478,0.736
2GxGYGrixbXPFojONbzdo9,Angel in Blue Jeans,['Train'],2014,55,0,115.036,0.0151,205973,0.61,0.817,0,9.09E-06,0.0998,-4.775,1,0.0331,0.688
0KAiuUOrLTIkzkpfpn9jb9,Drive By,['Train'],2012,74,1,122.028,0.00107,195973,0.765,0.837,0,1.06E-05,0.0801,-3.113,0,0.032,0.721
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",['Train'],2010,82,1,97.012,0.185,216773,0.673,0.886,0,0,0.0826,-4.44,0,0.0431,0.795
0ARhwY80PC4ycF16XEYfBQ,I Got You,['Train'],2010,54,7,80.386,0.0157,227467,0.608,0.909,0,0,0.345,-2.144,1,0.0916,0.754
3g4GTF5OZrLrmk7hGZFkH8,If It's Love,['Train'],2010,51,6,94.988,0.0108,239040,0.628,0.917,0,2.25E-06,0.306,-3.489,1,0.144,0.638
2MWOqewf5j0qf2b6S5J6cS,Marry Me,['Train'],2010,71,0,87.918,0.834,205453,0.461,0.267,0,2.03E-05,0.107,-8.514,1,0.0278,0.481
2o3qA8lOCXZ8cRGhuWNT4J,Mermaid,['Train'],2012,53,8,104.008,0.0146,196933,0.72,0.883,0,0,0.102,-3.455,1,0.0398,0.921
77hjM9bMmgfTGJXv14UFmi,Play That Song,['Train'],2017,69,0,98.959,0.0231,243253,0.392,0.825,0,2.25E-06,0.0972,-2.068,0,0.0535,0.482
7gA5OQWsvAY7HhazroFuwI,"Save Me, San Francisco",['Train'],2010,54,2,112.012,0.0531,249427,0.639,0.938,0,0,0.617,-2.729,1,0.0433,0.886
5H06kjjKa1Oz8BZcGeplel,Alone,['Trampled by Turtles'],2012,53,0,141.09,0.758,268280,0.546,0.432,0,0.4,0.0976,-10.637,1,0.0321,0.277
6AKYhRh9Oz1nzscR5kZS7T,Victory,['Trampled by Turtles'],2010,48,9,121.548,0.28,237000,0.454,0.719,0,0.00209,0.089,-7.74,1,0.0326,0.594
1QesQ27kCWYTYuXJi8SApS,Wait so Long,['Trampled by Turtles'],2010,57,9,189.451,0.487,206400,0.254,0.928,0,1.33E-05,0.112,-5.885,0,0.318,0.327
2dJrn376fJPUCj1f4txnRQ,Where Is My Mind?,['Trampled by Turtles'],2011,53,4,79.581,0.612,210628,0.523,0.482,0,0.0103,0.264,-6.646,1,0.0245,0.283
53QeelegqpAqMah5XNh5ef,Perfect Rain,['Tranquility Spree'],2017,68,2,77.501,0.112,220742,0.135,0.999,0,0.997,0.813,-18.009,1,0.0485,1.00E-05
4ZFtNZuzzdHjYKARA8TEh2,Birthday Bitch,['Trap Beckham'],2016,58,0,102.481,0.000949,197467,0.957,0.674,1,0.000215,0.17,-9.728,1,0.103,0.522
5BInskLvwqz56ClUpfqdI4,Bring It,['Trapt'],2013,50,6,100.014,0.000223,219720,0.498,0.975,0,2.28E-06,0.0999,-4.372,1,0.074,0.336
2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),"['Travie McCoy', 'Bruno Mars']",2010,73,6,86.776,0.297,211160,0.633,0.673,1,0,0.206,-6.403,0,0.258,0.659
2qPUnoasNe4Ep43emVXEig,Billionaire (feat. Bruno Mars),"['Travie McCoy', 'Bruno Mars']",2010,70,6,86.776,0.297,211160,0.633,0.673,1,0,0.206,-6.403,0,0.258,0.659
5KYDPulw71N02ojE4VBKZg,Billionaire (feat. Bruno Mars) - Acoustic Version,['Travie McCoy'],2010,47,9,86.87,0.794,212978,0.687,0.542,1,0,0.0822,-6.976,1,0.15,0.887
5WNJgfmTVfdHcN0wnjlIR7,A Ver Que Opinan,['Traviezoz de la Zierra'],2015,58,5,102.774,0.327,248560,0.798,0.568,0,0,0.0713,-6.001,1,0.0613,0.908
5JnrCMAVY9tIuglIZba758,Me Pegó la Gana,['Traviezoz de la Zierra'],2013,57,7,66.342,0.64,168533,0.578,0.514,0,0,0.144,-5.99,1,0.0401,0.857
588ROs3NuPqlPSYpIuitKS,Mi Pasado y Mi Presente,['Traviezoz de la Zierra'],2013,67,7,114.855,0.494,220080,0.796,0.555,0,0,0.317,-7.295,0,0.0583,0.889
2594qS7iKEg6AeLjJDEOIO,Clean,['Travis Atreo'],2014,62,0,207.528,0.826,270000,0.4,0.25,0,0,0.118,-9.111,1,0.036,0.308
0P3wANnHa96Q7qOBzZrvD5,Should Have Been Us,['Travis Atreo'],2015,61,0,85.93,0.849,198550,0.695,NA,0,0,0.102,-7.676,1,0.0535,0.389
19xSVTy7c5jBGmHHgVXNbg,Let's Go,"['Travis Barker', 'Yelawolf', 'Twista', 'Busta Rhymes', 'Lil Jon']",2011,55,9,150.032,0.124,193080,0.707,0.906,1,0,0.294,-5.871,1,0.204,0.548
3cTqopgJTXyuuNdfOWE4qC,Just as I Am,['Travis Cottrell'],2011,47,9,72.913,0.408,334533,0.366,0.499,0,0.000213,0.125,-7.263,1,0.0276,0.128
1z6wl2rwKatfmza6usanWw,After A Few,['Travis Denning'],2019,74,10,106.998,0.0146,213493,0.617,0.849,0,0,0.194,-4.316,0,0.0355,0.695
4fhKaRCxbWXA3BwAr3Zxjx,David Ashley Parker From Powder Springs,['Travis Denning'],2018,63,5,138.076,0.131,210173,0.555,0.895,0,0,0.0922,-4.787,1,0.0472,0.38
7gricPHxqsVEq1Lml7BFVu,Made A Way,['Travis Greene'],2015,54,11,76.907,0.0855,591333,0.509,0.683,0,1.60E-06,0.116,-6.422,1,0.0419,0.27
163ExVYtJrtdE86Qd5Fw2N,Ayy Ladies (feat. Tyga),"['Travis Porter', 'Tyga']",2012,51,10,96.05,0.0937,213107,0.905,0.753,1,0,0.0438,-3.613,0,0.164,0.747
4P6BuLsqtg5uISdE77ypI9,Ayy Ladies (feat. Tyga),"['Travis Porter', 'Tyga']",2012,71,10,96.055,0.096,211293,0.905,0.782,1,0,0.0623,-3.604,0,0.164,0.798
0tLn5CdPkfUmz12hVE8aGP,Nine Times Ten,"['Travis Porter', 'YG']",2014,49,1,97.578,0.0786,226319,0.902,0.547,1,0,0.293,-8.05,1,0.125,0.282
45Ry9ZjzPQEFzlhJfae1V8,Bring It Back,['Travis Porter'],2011,47,2,98.013,0.114,216240,0.93,0.781,1,0,0.116,-4.114,1,0.0697,0.553
6VWUOFXGwH1OgyPrfRONrn,Bring It Back,['Travis Porter'],2012,58,11,98.001,0.116,217907,0.944,0.76,1,0,0.113,-4.355,0,0.0851,0.545
50p9gmJMwsz3zyAwoF0FEv,Make It Rain,['Travis Porter'],2012,52,1,128.952,0.078,239493,0.926,0.69,1,0,0.228,-4.327,0,0.175,0.387
1SGt65i9AnXYdDQt1AtDRH,3500 (feat. Future & 2 Chainz),"['Travis Scott', 'Future', '2 Chainz']",2015,69,8,123.968,0.114,461840,0.773,0.595,1,2.47E-06,0.13,-6.062,0,0.161,0.338
3dtBVBClM5ms0qCBBrqpUb,Wasted (feat. Juicy J),"['Travis Scott', 'Juicy J']",2015,58,10,134.923,0.0836,235680,0.689,0.61,1,0,0.36,-9.004,0,0.217,0.119
6Yqmv7XJLCrQEauMbPGZSw,Maria I'm Drunk (feat. Justin Bieber & Young Thug),"['Travis Scott', 'Justin Bieber', 'Young Thug']",2015,69,4,105.989,0.377,349933,0.648,0.631,1,0,0.12,-5.662,0,0.103,0.142
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),"['Travis Scott', 'Kacy Hill']",2015,75,9,81.404,0.113,339067,0.402,0.526,1,8.33E-06,0.105,-6.741,0,0.0904,0.312
5H25xsIuRWUI8GwcoAoeSG,Piss On Your Grave (feat. Kanye West),"['Travis Scott', 'Kanye West']",2015,57,1,116.877,0.00793,166320,0.554,0.54,1,1.05E-06,0.158,-5.687,1,0.0905,0.162
3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),"['Travis Scott', 'Lil Uzi Vert', 'Kanye West']",2018,68,4,78.534,0.0372,217405,0.706,0.559,1,0,0.379,-5.216,0,0.0416,0.252
